Model,Conf,Images,GT_Objects,Pred_Objects,TP,FP,FN,Precision,Recall,F1
YOLOv11,0.25,40,86,76,66,10,20,0.8616666666666667,0.8020833333333334,0.8147113997113997
YOLOv11,0.5,40,86,52,50,2,36,0.7895833333333333,0.6325000000000001,0.6792947330447331
YOLOv11,0.7,40,86,29,29,0,57,0.55,0.3883333333333333,0.4332936507936508
YOLOv12n,0.25,40,86,83,67,16,19,0.8303571428571429,0.8229166666666666,0.8040854978354979
YOLOv12n,0.5,40,86,54,53,1,33,0.84375,0.6583333333333333,0.7143452380952381
YOLOv12n,0.7,40,86,28,28,0,58,0.575,0.4095833333333333,0.4505357142857143
YOLOv8-FPN,0.25,40,86,94,65,29,21,0.7332738095238096,0.7958333333333333,0.73254329004329
YOLOv8-FPN,0.5,40,86,44,41,3,45,0.6458333333333333,0.5179166666666666,0.5486507936507936
YOLOv8-FPN,0.7,40,86,23,23,0,63,0.5,0.35666666666666663,0.3917261904761905
YOLOv8n,0.25,40,86,85,68,17,18,0.8074999999999999,0.8375,0.7907720057720058
YOLOv8n,0.5,40,86,57,55,2,31,0.8395833333333333,0.7104166666666667,0.7514772727272727
YOLOv8n,0.7,40,86,33,33,0,53,0.6,0.4370833333333334,0.482281746031746
YOLOv9c,0.25,40,86,85,68,17,18,0.8041666666666666,0.83125,0.790146103896104
YOLOv9c,0.5,40,86,61,57,4,29,0.8458333333333334,0.7229166666666667,0.7527164502164502
YOLOv9c,0.7,40,86,34,34,0,52,0.7,0.5054166666666666,0.557797619047619
